Type,Requirement,,,,
F, For each turn  the product shall allow the offensive player to define a shot.,,,,
F, For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,,,,
F, For each shot  the product shall notify the players whether the shot was a hit or miss.,,,,
F, For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,,,,
F, For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,,,,
F,When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.,,,,
F,When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,,,,
F,When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,,,,
F,When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.,,,,
F,If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,,,,
F,If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,,,,
F,If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,,,,
F,The product shall continue to assign turns until the game is ended.,,,,
F,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player s ships  which had not been previously marked as sunk.,,,,
F,The product shall allow a player to end a game at any time during the game.,,,,
F,When a game is ended  the product shall notify the players that the game is ended.,,,,
F,The notification of the game ending will include the reason the game is ended (i.e.  a player has won the game or a player has ended the game).,,,,
F,When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,,,,
F,When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,,,,
US,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,,,,
US,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,,,,
PE,The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,,,,
PE,On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.,,,,
PE,On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.,,,,
A,The system shall have high availability every day of the year.The system must be available for use between 12,00AM and 6,00PM all days of the year.,,
A,The system must be available for use between 7,00AM and 11,59PM all days of the year.,,
MN,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,,,,
SE,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,,,,
SE,The product shall ensure that only supervisors can enter a caller s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,,,,
SE,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,,,,
LF,The interface shall have a simple look. In the interface and usability survey  90% of beta testers must report that the interface is adequately simple.,,,,
LF,The interface shall be appealing to callers and supervisors. In the interface and usability survey  80% of beta testers must report that the interface is appealing.,,,,
LF,The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,,,,
LF,The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,,,,
US,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,,,,
US,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,,,,
US,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),,,,
PE,The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,,,,
PE,The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,,,,
PE,The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,,,,
PE,The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,,,,
PE,The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,,,,
A,The product shall be available 99% of the time. Rationale, To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,,,
FT,The product shall be robust.The product shall have fault avoidance based on standards adoption.,,,,
FT,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,,,,
SC,The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,,,,
O,The product shall be platform independent.The product shall enable access to any type of development environment and platform.,,,,
O,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,,,,
MN,The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,,,,
MN,The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,,,,
MN,The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,,,,
SE, The product shall have security.The product shall provide authentication  and authorization.,,,,
SE,The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,,,,
SE,The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,,,,
LF,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,,,,
LF,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,,,,
LF,The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,,,,
LF,The interface must summarize the data in a fashion that s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,,,,
US,The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,,,,
US,The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,,,,
US,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),,,,
US,A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,,,,
US,All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),,,,
US,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,,,,
A,The WCS system shall be available at all times as long as IBM s internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM s internal intranet W3 is available.,,,,
SC,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,,,,
SC,The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,,,,
O,The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,,,,
O,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats).  Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,,,,
MN,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,,,,
MN, All changes  updates  and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,,,,
SE,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,,,,
SE,The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user s computer.,,,,
SE,Each team owner will need to use a username and password in order to be authenticated to reach the team owner s page,,,,
SE,The Commissioner will be the only authorized user per league to adjust league settings.,,,,
LF,Each page shall contain a navigation menu which shows the index into which the current page is contained.,,,,
LF,Each page shall contain a similar format with action items in one location and navigation buttons in a different location.,,,,
LF,The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,,,,
US,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,,,,
US,Users shall be able to reach the  add    drop   and  trade player  pages with one click from the team owner s page.,,,,
US,Users shall be able to view at least 25 NFL player statistics and points on each page.,,,,
US,The application shall ask the user to confirm dropping a player or trading a player before performing the action.,,,,
PE,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,,,,
A,The application shall have a downtime of at most 10 minutes per year.,,,,
O,The application shall run on a web application server.,,,,
PE,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,,,,
PE,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,,,,
O, The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday   Saturday 3,00am to 4,00am EST Sunday 1,00amd to 5,00am EST
O,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,,,,
O,A primary database will be used to store cached data for active users.,,,,
A,The system shall achieve 95% up time.,,,,
LF,The system shall have a professional appearance,,,,
LF,The product shall have a consistent color scheme and fonts.,,,,
US,The system shall be used by realtors with no training.,,,,
US,The system shall be intuitive and self explanatory.,,,,
US,The product shall be easy for a realtor to learn.,,,,
US,The product shall use symbols and words that are naturally understandable by the realtor community.,,,,
PE,The product shall produce search results in an acceptable time,,,,
PE,The search results shall be returned no later 30      seconds  after the user has entered the search criteria,,,,
PE,The product shall generate a CMA report in an acceptable time.,,,,
PE,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,,,,
PE,The product shall synchronize contacts and appointments in an acceptable time.,,,,
PE,The product shall synchronize with the office system every hour.,,,,
A, The product shall be available for use 24 hours per day  365 days  per year,,,,
A, Out of 1000 accesses to the system  the system is available 999 times.,,,,
FT,The product shall operate in offline mode whenever internet connection is unavailable.,,,,
FT, The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,,,,
FT,The product shall retain user preferences in the event of a failure.,,,,
FT,100% of saved user preferences shall be restored when system comes back online.,,,,
SC,The product shall be able to support multiple remote users,,,,
SC,The product shall be able support 1000 simultaneous users.,,,,
SC,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,,,,
US,The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,,,,
US,90% of untrained realtors shall be able to install the product on their device without printed instructions,,,,
PO,The product is expected to run on Windows CE and Palm operating systems.,,,,
SE,Only registered realtors shall be able to access the system.,,,,
SE,Every user of the system shall be authenticated and authorized.,,,,
SE,The product shall prevent its data from incorrect data being introduced.,,,,
F,The system shall allow a real estate agent to query MLS information,,,,
F,The user shall be able to get driving directions to a selected property,,,,
F,The user shall be able to download appointments and contact information for clients,,,,
F,The system shall display clear property images in the search results,,,,
SC,system shall be able to handle all of the user requests/usage during business hours.,,,,
SC,The system shall cater to 10 simultaneous users from 9am to 5pm.,,,,
SC,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,,,,
SC,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,,,,
O,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,,,,
O,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,,,,
O,A secondary database will be used to store historical statistics and data.,,,,
F,The system shall be able to call the seller or buyer to schedule an appointment,,,,
F,The realtor shall be notified of new client appointments after automatic synchronization with office system,,,,
F,The realtor shall be able to retrieve a map showing property locations for a specified area,,,,
F,The system shall notify the realtor when a seller or buyer responds to an appointment request,,,,
F,The product shall allow the user to save the property search results.,,,,
US,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,,,,
US,All of the users shall be able to use the system after one day of training.,,,,
US,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,,,,
US,The number of mistakes noted by the students shall be decreased by 50% in the first year.,,,,
US,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,,,,
US,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,,,,
US,The system shall use symbols and words that are naturally understandable by the user community.,,,,
US,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,,,,
PE,Staff members shall be able to complete a set of tasks in a timely manner.,,,,
PE,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,,,,
A,The system shall be available for use between the hours of 8am and 6pm.,,,,
O,The system shall operate within the Windows XP Professional operating system.,,,,
O,The system shall interface with CampusConnect s central server,,,,
O,The system shall interface with the faculty central server.,,,,
O,The system shall interface with the student master server.,,,,
O,We must be able to interface with any HTML browser.,,,,
SE,Only authorized users shall have access to clinical site information.,,,,
SE,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,,,,
SE,Only authorized users shall have access to students  personal information.,,,,
SE,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students  personal information.,,,,
SE,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,,,,
SE,Fit Criterion, Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,,,
SE,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,,,,
SE,The system shall protect private information in accordance with the organization s information policy.,,,,
SE,The system shall be built such that it is as secure as possible from malicious interference.,,,,
SE,The system shall use the organization s standard virus protection software to help monitor threats to itself.,,,,
F,A cohort shall be associated to one Program of Study offered by the department.,,,,
F,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,,,,
F,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,,,,
F,Students added to a cohort shall be eligible for the cohort s Program of Study.,,,,
F,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,,,,
F, For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,,,,
F,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,,,,
MN,Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,,,,
MN,New System version releases shall be released at the beginning of each NFL season.,,,,
F,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,,,,
F,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,,,,
F,The system shall allow modification of the display.,,,,
F,The system shall offer a display of all the Events in the exercise.,,,,
F,The system shall filter data by, Venues and Key Events.,,,
F,The system shall allow a user to define the time segments,,,,
F,The system shall display the local and exercise time in separate clocks,,,,
F,The system shall offer the ability to pause and resume the refresh of data.,,,,
F,The system shall provide charts for the Activity or Event actual versus assumed time.,,,,
A,The RFS system should be available 24/7  especially during the budgeting period. The RFS system shall be available 90% of the time all year  and 98% during the budgeting period. 2% of the time  the system will become available within 1 hour of the time that the situation is reported.,,,,
O,98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space,  400MB.,,,
O,98% of the user workstations shall meet the minimum software requirements prior to implementation, Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls,,,
O,"The RFS system should be able to easily interface with the BDW environment  in order to load the data.  	7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process  every year. The data will be as of October month-end. 	Test files (7) shall be loaded up to 5 times throughout the year  from the BDW.",,,,
MN,Changes to revenue and expense formulae must be applied to the RFS system  every year  prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt  after which 2 weeks will be allotted to testing of the budget calculations  to be conducted jointly by the project development team and PCG Finance.,,,,
MN,New branches/complexes/districts/regions and revenue/expense accounts added to the BDW  must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end  will be loaded into the RFS system  prior to the budget start process.,,,,
SE,Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.,,,,
SE,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,,,,
LF,The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,,,,
LF,The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,,,,
US,The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.,,,,
PE,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,,,,
F,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,,,,
F, The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,,,,
F, The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,,,,
F, The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,,,,
FR,The feature of the application shall provide the optimized route for the given addresses
FR,This feature provides the user to select an optimized route for the addresses given and fixing any path between the desired locations. 
NFR,"Fast internet connection is not mandatory, but it would increase the performance of the application"
FR,"after every user request, new maps are needed to be loaded"
NFR,"As Google Maps API is being used for this application, it is mandatory that we abide by the terms of use specified by Google"
FR,After installing the Application from iTunes or the App store the user will be asked to login.
FR,"Upon successful login, the user can select from the following catalogue options:  Spring 2013 ,Winter 2013"
FR,"Based on the selection the product categories will be listed: Outerwear,Soft Shell,Fleece,Knits,Wovens,Active Wear,	Safety,Accessories,Team Wear,	e.c.o. Collection"
FR,Once a category is selected the product thumbnail images will appear for selection.
FR,A user can then select the product and view the details.
FR,The detail page will contain all the same features and information as the website.
FR,From the here the user can either proceed to call a rep for an order or proceed to the online checkout process.
FR,"Upon successful login, the user can select from the following catalogue options or use the search function indicated by the search icon in the top right hand corner of the application."
FR,Once the icon is selected two open text field will be available to the user to search for the product name - by product ID/SKU or by keyword.
FR,Following a successful query the search feature will query the application database to display the search results. Following an unsuccessful query the search feature will display an error message that no matches were found
FR,A user can select the desired product from the results and proceed to the product details.
FR,From the here the user can either proceed to call a rep for an order or proceed to the online checkout process
FR,"Upon successful login, the user can select from the following catalogue options, search or           use the sub navigation to find the following items: Catalogue ,Videos,Contact Us"
FR,Should a user select to download the catalogue PDF it will be viewed on their mobile device.
FR,"Should a user select videos, the 360 video list will display. Upon selecting a video it will play on their device."
FR,All users shall be able to zoom into images using the standard gestures on mobile devices.
FR,All Users will be able to view the next product by swiping left to right .
FR,All users should be able to go back to the product category page via the back button in the top corner.
FR,All users should be able to search by keyword or product ID.
FR,"All users should be able to navigate using the sub navigation icons to access the Catalogue PDF, 360 videos, and to contact a rep representative"
FR,The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.  
FR,"The only hazard is a user using the device when they should not be, such as while driving."
NFR,The application must be able to link up with the INTERNAL system in order for users to properly log in and be identified.
NFR,This information must be kept secure.  
NFR,The data entry should not be that much more difficult than if they were at an actual computer.  
NFR,"Because this application will be on a phone, portability is also important.  We don’t want it to take up so much space or be too slow causing the user’s to not be able to fit it on the device."
NFR,"When the user fills all necessary fields, an activation mail will be sent to
users mail address"
NFR,"User will be able to log in and start using the system just after activating
his/her account."
FR,"user enters his/her username or email and his/her password and logs in the
system"
FR,"user touches log out button, and logs out of the system. The user will not use
the system until he/she logs in again."
FR,"user is able to search items. User can search items according to their price,
their location, their category."
FR,"user is able to browse the profiles other users. User can see the other users’
user names, profile photos, and the users’ items."
FR,"user is able to browse categories according to his/her wishes. User can also see
how many items each category has."
FR,"user is able browse items. User can see the items’ pictures, prices, and other
features."
FR,"If the user changes his/her username or password, a notification mail will be sent to the
user’s email address."
FR,The changes will apply if the user clicks on the link in the email.
FR,"user can buy credits from the system. He/she can use credit card or his/her
PayPal account."
FR,"user can add the items he/she likes to his cart by touching “Add to the cart”
button."
FR,"if the item the user wants is available for exchange, the user can request the
exchange of items that he/she has with the item he/she wants."
FR,"the user can approve the exchange that is offered by another user by clicking
“Approve” button."
FR,"the user can decline the exchange that is offered by another user by clicking
“Decline” button."
FR,the user notifies other user that the shipment of the item has started.
FR,the user can add as many as items he/she wants.
FR,"The user can also set the price,
set the amount, upload pictures of the item and add details of the item."
FR,"the user can edit the items that he/she has already put on the system. The user
can add/remove pictures, change the price and details of the item."
FR,"if the user no longer wishes to sell/exchange the item, he/she can remove the
item from the system by touching “Remove the item” button."
FR,"if the user no longer wishes to use the system, he/she can click “Delete Profile”
button. After deleting the profile, the user will no longer be able to use the system with the
account details that he entered before."
FR,"the user can mark an item as a favorite so that he will be notified if any change
is made to the item"
FR,the user can rate and comment about the users whom he traded with.
FR,10000 users should be able to use the system at the same time.
FR,The response time of the system should be 2 seconds at most.
NFR,Search form should be  added to home page
NFR,Sites should be added correctly to the search engine
FR,Build the search engine based on the search form and sites available
FR,"User should be able to search by site name, description"
FR,System should be self capable with feature of Auto Suggest
FR,System should be able to return the search results in desending order in the form of list of links to the sites
FR,"System should be able to  display "" No results found "" in case no  search results found "
FR,System should have a link back to home in case no results found
FR,geo-location feature to be able to find a user
FR,Use Geolocation scripts to locate user
FR,check if user is within 1 mile of the campus
FR,"If user within 1 mile of the campus , update location"
FR,User for permission to use the location service .
FR,"If the user denies to user the location service , prompt the user to home screen "
FR,"If user allows location service , create the user"
FR,"if the system unable to update the location , Show failure msg and return the user to home page."
FR,Update Page with link to sites nearby
FR,Build Ajax Response to update home page with a link to nearby site based on user location
FR,"Application should respond with a list of links to the 3 nearest sites by A-Z, sorted by name"
FR,"Application should  respond with the sites placed on a map with markers that includes name, description and link to site page.  "
FR,Application should do the  distance calculations and geolocation information for user/site and nearby sites.
FR,"when user clicks on links to browse sites from home page, the system should respond with a list of links to all the sites by A-Z, sorted on site name"
FR,Application should collect list of all sites sorted by name
FR,Application should Build URL to each site’s page
FR,"when user clicks on link to map sites from the home page, application should respond with a campus map with all the historical sites placed on it"
FR,"Each historical site should have  a marker for each site placed on map that include the name, shorten description, and link to the site page."
FR,The site’s page should contain link to walking directions on tour
FR,"Application should respond with a list of thumbnail images for the site, listed from oldest to newest by year."
FR,"In case no image available , application should return ""no image"" flag."
FR,"when user clicks on a thumbnail image from the site’s page, the application should replace the site’s image with the medium sized clicked on image "
FR,Application should replace the site’s description with the clicked on image description
FR,"when the user clicks on the main image on the site’s page, application should return with a an enlarged version of the image "
FR,"when User clicks on link to Walking Tour, application should respond with walking tour page"
FR,"when User clicks on link to About, application should respond with About  page"
FR,No personal data about a user is stored.
FR,User location information should be  deleted nightly via a cron job. 
NFR,Project admins will need to be authorized before they can use the admin interface to manage the sites in the project.
NFR,Standard web security measure should be implemented.
NFR,"This application should be easily extendable, maintainable and able to be released as an open-source application"
NFR,The app runs on a smart phone with operating system Android version 2.3.
NFR,"All layout shall be according to the TU/e corporate identity, unless in conflict with the guidelines of requirements UCOR003-UCOR006."
NFR,Icons are according to the Android Icon Guidelines.
NFR,The user interfaces should be according to the Android User Interface Guidelines.
NFR,The Twitter â€tweetâ€ interface should be according to the Twitter Guidelines.
NFR,The Facebook â€likeâ€ interface should be according to the Facebook Guidelines.
NFR,The campus map covers the campus of the TU/e.
NFR,The campus map covers the central train station of Eindhoven.
NFR,A new stylistic map has the right dimensions.
NFR,A new stylistic map is geographically correct.
NFR,News is restricted to what is available in the feeds on the list of news RSS-feeds.
NFR,Agenda is restricted to what is available in the feeds on the list of agenda RSS-feeds.
NFR,Information about a certain person is restricted to what is available on the employee pages of the TU/e
NFR,The information and the search methods of the Encyclopedia-app are restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.
NFR,The information and the search methods of the Studenthandbook-app are restricted depending on file format of the handbook-information.
NFR,Response Time GIST: The fastness of the search SCALE: The response time of a search METER: Measurements obtained from 1000 searches during testing. MUST: No more than 2 seconds 100% of the time. WISH: No more than 1 second 100% of the time.
NFR,"System Dependability GIST: The fault tolerance of the system. SCALE: If the system loses the connection to the Internet or to the GPS device or the system gets some strange input, the user should be informed. METER: Measurements obtained from 1000 hours of usage during testing. MUST: 100% of the time."
NFR,Hard Drive Space GIST: Hard drive space. SCALE: The applicationâ€™s need of hard drive space. METER: MB. MUST: No more than 20 MB. PLAN: No more than 15 MB. WISH: No more than 10 MB. MB: DEFINED: Megabyte
NFR,Application Memory Usage GIST: The amount of Operate System memory occupied by the application. SCALE: MB. METER: Observations done from the performance log during testing MUST: No more than 20 MB. PLAN: No more than 16 MB WISH: No more than 10 MB Operate System: DEFINED: The mobile Operate System which the application is running on. MB: DEFINED: Megabyte.
NFR,System Reliability GIST: The reliability of the system. SCALE: The reliability that the system gives the right result on a search. METER: Measurements obtained from 1000 searches during testing. MUST: More than 98% of the searches. PLAN: More than 99% of the searches. WISH: 100% of the searches.
NFR,System Availability GIST: The availability of the system when it is used. SCALE: The average system availability (not considering network failing). METER: Measurements obtained from 1000 hours of usage during testing. MUST: More than 98% of the time. PLAN: More than 99% of the time. WISH: 100% of the time.
NFR,Internet Connection DESC: The application should be connected to the Internet.
NFR,GPS Connection DESC: The application should be connected to the GPS device.
NFR,"Communication Security GIST: Security of the communication between the system and server. SCALE: The messages should be encrypted for log-in communications, so others cannot get user-name and password from those messages. METER: Attempts to get user-name and password through obtained messages on 1000 log-in session during testing. MUST: 100% of the Communication Messages in the communication of a log-in session should be encrypted. Communication Messages: Defined: Every exchanged of information between client and server."
NFR,Restaurant Owner Login Account Security GIST: Security of accounts. SCALE: If a restaurant owner tries to log in to the web portal with a non-existing account then the restaurant owner should not be logged in. The restaurant owner should be notified about log-in failure. METER: 1000 attempts to log-in with a non-existing user account during testing. MUST: 100% of the time.
NFR,Admin Login Account Security GIST: Security of accounts. SCALE: If an admin tries to log in to the web portal with a non-existing account then the admin should not be logged in. The admin should be notified about log-in failure. METER: 1000 attempts to log-in with a non-existing user account during testing. MUST: 100% of the time.
NFR,"Restaurant Owner Account Security GIST: Security of restaurant owners accounts. SCALE: A restaurant owner and IP address should not be able to log-in for a certain time period after three times of failed log-in attempts. METER: 1000 attempts to log-in during the lock period after user account has been locked because of failed log-in attempts of three times. MUST: The locking period should be half an hour, and during that period the log-in function is disabled."
NFR,"Admin Account Security GIST: Security of admin accounts. SCALE: An admin and IP address should not be able to log-in to the web portal for a certain time period after three times of failed log-in attempts. METER: 1000 attempts to log-in during the lock period after user account has been locked because of failed log-in attempts of three times. MUST: The locking period should be half an hour, and during that period the log-in function is disabled."
NFR,"User Create Account Security GIST: The security of creating account for users of the system. SCALE: If a user wants to create an account and the desired user name is occupied, the user should be asked to choose a different user name. METER: Measurements obtained on 1000 hours of usage during testing. MUST: 100% of the time."
NFR,"Restaurant Owner Create Account Security GIST: The security of creating account for restaurant owners of the system. SCALE: If a restaurant owner wants to create an account and the desired user name is occupied, the restaurant owner should be asked to choose a different user name. METER: Measurements obtained on 1000 hours of usage during testing. MUST: 100% of the time."
NFR,Application extendibility DESC: The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.
NFR,Application testability DESC: Test environments should be built for the application to allow testing of the applications different functions.
NFR,Application portability DESC: The application should be portable with iOS and Android.
NFR,Performance Requirements 10000 users should be able to use the system at the same time. The response time of the system should be 2 seconds at most.
NFR,Design Constraints We will use â€œwaterfall methodâ€ and Object â€“ Oriented Programming paradigm. We will use Java as programming language. The Android version of the device should be 2.3 or higher. The system requires Internet connection all the time.
NFR,â€‹ The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.
NFR,The overall accuracy of the Web APIâ€™s response will be measured using a developer-made testing set.
NFR,The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked.
NFR,The accuracy of the Generic Question Constructionâ€‹ part will be close to 80% 
NFR,Modularity  The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out. 
